Vertices                      Edges Prob.                   Max Weight                    Search Time
18                            0.25                          140                           0.0012650489807128906
18                            0.5                           173                           0.006482124328613281
18                            0.75                          231                           0.03932070732116699
19                            0.125                         136                           0.0005280971527099609
19                            0.25                          136                           0.0015192031860351562
19                            0.5                           198                           0.011662960052490234
19                            0.75                          249                           0.036449432373046875
20                            0.125                         128                           0.0005633831024169922
20                            0.25                          128                           0.0013709068298339844
20                            0.5                           169                           0.01027989387512207
20                            0.75                          271                           0.03256702423095703
21                            0.125                         94                            0.0007796287536621094
21                            0.25                          111                           0.0019571781158447266
21                            0.5                           152                           0.010439634323120117
21                            0.75                          270                           0.03759503364562988
22                            0.125                         100                           0.0007214546203613281
22                            0.25                          111                           0.002178192138671875
22                            0.5                           155                           0.009259939193725586
22                            0.75                          249                           0.06988382339477539
23                            0.125                         98                            0.0009031295776367188
23                            0.25                          117                           0.002714872360229492
23                            0.5                           148                           0.014567136764526367
23                            0.75                          213                           0.06367325782775879
24                            0.125                         100                           0.0008878707885742188
24                            0.25                          128                           0.0032415390014648438
24                            0.5                           179                           0.020657062530517578
24                            0.75                          263                           0.08837628364562988
25                            0.125                         97                            0.0009851455688476562
25                            0.25                          118                           0.003580808639526367
25                            0.5                           158                           0.01894831657409668
25                            0.75                          255                           0.10026144981384277
26                            0.125                         91                            0.0008587837219238281
26                            0.25                          108                           0.003231048583984375
26                            0.5                           138                           0.01564788818359375
26                            0.75                          266                           0.13584303855895996
27                            0.125                         91                            0.0011696815490722656
27                            0.25                          113                           0.0036873817443847656
27                            0.5                           166                           0.025659799575805664
27                            0.75                          238                           0.10837221145629883
28                            0.125                         87                            0.0016748905181884766
28                            0.25                          92                            0.004686117172241211
28                            0.5                           153                           0.028504371643066406
28                            0.75                          252                           0.15222549438476562
29                            0.125                         87                            0.0016701221466064453
29                            0.25                          118                           0.006361246109008789
29                            0.5                           166                           0.03135514259338379
29                            0.75                          284                           0.20190906524658203
30                            0.125                         91                            0.0017249584197998047
30                            0.25                          108                           0.006421804428100586
30                            0.5                           167                           0.03238105773925781
30                            0.75                          262                           0.19575071334838867
31                            0.125                         91                            0.0021147727966308594
31                            0.25                          106                           0.008904218673706055
31                            0.5                           170                           0.03631758689880371
31                            0.75                          318                           0.3795022964477539
32                            0.125                         89                            0.0025625228881835938
32                            0.25                          116                           0.011538505554199219
32                            0.5                           163                           0.04220271110534668
32                            0.75                          297                           0.3083205223083496
33                            0.125                         89                            0.0033054351806640625
33                            0.25                          124                           0.009102821350097656
33                            0.5                           152                           0.047701120376586914
33                            0.75                          267                           0.3763132095336914
34                            0.125                         111                           0.0027015209197998047
34                            0.25                          133                           0.010069131851196289
34                            0.5                           176                           0.05355405807495117
34                            0.75                          276                           0.38695549964904785
35                            0.125                         98                            0.003100156784057617
35                            0.25                          131                           0.012787103652954102
35                            0.5                           180                           0.06518030166625977
35                            0.75                          280                           0.4647796154022217
36                            0.125                         87                            0.0025718212127685547
36                            0.25                          116                           0.012354135513305664
36                            0.5                           168                           0.06634187698364258
36                            0.75                          286                           0.6591508388519287
37                            0.125                         111                           0.003732442855834961
37                            0.25                          111                           0.013903617858886719
37                            0.5                           184                           0.09287714958190918
37                            0.75                          351                           0.6730809211730957
38                            0.125                         106                           0.003854513168334961
38                            0.25                          106                           0.015613555908203125
38                            0.5                           164                           0.07631301879882812
38                            0.75                          294                           0.5593981742858887
39                            0.125                         120                           0.00393223762512207
39                            0.25                          120                           0.014075756072998047
39                            0.5                           185                           0.09287643432617188
39                            0.75                          329                           0.8344211578369141
40                            0.125                         106                           0.0041387081146240234
40                            0.25                          124                           0.016728878021240234
40                            0.5                           202                           0.10056424140930176
40                            0.75                          330                           0.6571838855743408
41                            0.125                         120                           0.004888057708740234
41                            0.25                          137                           0.01871323585510254
41                            0.5                           223                           0.11777782440185547
41                            0.75                          306                           0.7944738864898682
42                            0.125                         116                           0.006210803985595703
42                            0.25                          143                           0.01868128776550293
42                            0.5                           204                           0.13219404220581055
42                            0.75                          294                           0.8713369369506836
43                            0.125                         104                           0.00636744499206543
43                            0.25                          129                           0.02526259422302246
43                            0.5                           202                           0.14808893203735352
43                            0.75                          375                           1.023597240447998
44                            0.125                         131                           0.008037090301513672
44                            0.25                          145                           0.026775598526000977
44                            0.5                           217                           0.181318998336792
44                            0.75                          385                           1.5440924167633057
45                            0.125                         101                           0.0077440738677978516
45                            0.25                          124                           0.02785348892211914
45                            0.5                           213                           0.13945865631103516
45                            0.75                          344                           1.095008373260498
46                            0.125                         121                           0.008043766021728516
46                            0.25                          151                           0.03246021270751953
46                            0.5                           233                           0.21657943725585938
46                            0.75                          328                           1.4583914279937744
47                            0.125                         117                           0.008575916290283203
47                            0.25                          142                           0.026431798934936523
47                            0.5                           252                           0.24871110916137695
47                            0.75                          351                           1.7660517692565918
48                            0.125                         125                           0.007972478866577148
48                            0.25                          148                           0.032466888427734375
48                            0.5                           225                           0.21697211265563965
48                            0.75                          349                           1.4901328086853027
49                            0.125                         110                           0.009009838104248047
49                            0.25                          137                           0.036420583724975586
49                            0.5                           230                           0.23572301864624023
49                            0.75                          337                           1.155867099761963
50                            0.125                         121                           0.010155439376831055
50                            0.25                          152                           0.04038262367248535
50                            0.5                           244                           0.25899195671081543
50                            0.75                          386                           1.8651182651519775
51                            0.125                         104                           0.010971784591674805
51                            0.25                          148                           0.03778553009033203
51                            0.5                           231                           0.26404786109924316
51                            0.75                          349                           1.6738057136535645
52                            0.125                         137                           0.011406898498535156
52                            0.25                          140                           0.03999924659729004
52                            0.5                           253                           0.361469030380249
52                            0.75                          359                           1.9510126113891602
53                            0.125                         131                           0.016429662704467773
53                            0.25                          150                           0.045970916748046875
53                            0.5                           207                           0.2610325813293457
53                            0.75                          383                           2.1564629077911377
54                            0.125                         120                           0.013732194900512695
54                            0.25                          163                           0.052423954010009766
54                            0.5                           250                           0.2813229560852051
54                            0.75                          423                           3.0423600673675537
55                            0.125                         101                           0.012539863586425781
55                            0.25                          164                           0.03978705406188965
55                            0.5                           250                           0.3786180019378662
55                            0.75                          457                           3.907392978668213
56                            0.125                         113                           0.01687335968017578
56                            0.25                          151                           0.055666208267211914
56                            0.5                           210                           0.3367424011230469
56                            0.75                          435                           3.072359800338745
57                            0.125                         118                           0.01738119125366211
57                            0.25                          170                           0.06029701232910156
57                            0.5                           240                           0.3548707962036133
57                            0.75                          438                           3.3467471599578857
58                            0.125                         130                           0.01838994026184082
58                            0.25                          157                           0.06556367874145508
58                            0.5                           220                           0.3591339588165283
58                            0.75                          400                           3.3647549152374268
59                            0.125                         107                           0.017748355865478516
59                            0.25                          160                           0.06437921524047852
59                            0.5                           266                           0.5150444507598877
59                            0.75                          401                           3.270841598510742
60                            0.125                         130                           0.017466306686401367
60                            0.25                          150                           0.06552505493164062
60                            0.5                           274                           0.4790027141571045
60                            0.75                          404                           2.7657482624053955
61                            0.125                         125                           0.02018880844116211
61                            0.25                          145                           0.05959677696228027
61                            0.5                           244                           0.568838357925415
61                            0.75                          420                           4.126485347747803
62                            0.125                         123                           0.02359795570373535
62                            0.25                          143                           0.07310223579406738
62                            0.5                           263                           0.6368553638458252
62                            0.75                          414                           4.0620481967926025
63                            0.125                         127                           0.024185657501220703
63                            0.25                          165                           0.07538199424743652
63                            0.5                           284                           0.6643531322479248
63                            0.75                          437                           5.175041198730469
64                            0.125                         127                           0.02540135383605957
64                            0.25                          151                           0.08650493621826172
64                            0.5                           222                           0.5700488090515137
64                            0.75                          458                           7.026113271713257
65                            0.125                         130                           0.024168968200683594
65                            0.25                          177                           0.09852743148803711
65                            0.5                           276                           0.6881561279296875
65                            0.75                          406                           4.855256795883179
66                            0.125                         126                           0.02591848373413086
66                            0.25                          172                           0.08843874931335449
66                            0.5                           265                           0.634681224822998
66                            0.75                          446                           6.001769304275513
67                            0.125                         126                           0.022745609283447266
67                            0.25                          173                           0.10354375839233398
67                            0.5                           259                           0.7607138156890869
67                            0.75                          403                           5.162302255630493
68                            0.125                         130                           0.030314922332763672
68                            0.25                          159                           0.1118767261505127
68                            0.5                           264                           0.7650282382965088
68                            0.75                          428                           5.442984104156494
69                            0.125                         118                           0.02935934066772461
69                            0.25                          179                           0.11284255981445312
69                            0.5                           255                           0.7234480381011963
69                            0.75                          451                           5.486828565597534
70                            0.125                         141                           0.030074119567871094
70                            0.25                          178                           0.11809468269348145
70                            0.5                           272                           0.8637688159942627
70                            0.75                          396                           5.170661211013794
71                            0.125                         126                           0.03375077247619629
71                            0.25                          187                           0.12638235092163086
71                            0.5                           306                           0.8372292518615723
71                            0.75                          436                           8.741619348526001
72                            0.125                         134                           0.03610944747924805
72                            0.25                          186                           0.1444566249847412
72                            0.5                           269                           0.9246907234191895
72                            0.75                          402                           5.721249103546143
73                            0.125                         164                           0.039397478103637695
73                            0.25                          164                           0.13460421562194824
73                            0.5                           262                           0.89768385887146
73                            0.75                          435                           7.716292381286621
74                            0.125                         144                           0.032932281494140625
74                            0.25                          182                           0.15264081954956055
74                            0.5                           281                           1.0605521202087402
74                            0.75                          428                           7.853574514389038
75                            0.125                         151                           0.037888288497924805
75                            0.25                          176                           0.1499021053314209
75                            0.5                           248                           0.8689699172973633
75                            0.75                          471                           9.724290370941162
76                            0.125                         151                           0.04079937934875488
76                            0.25                          180                           0.163893461227417
76                            0.5                           264                           1.1541495323181152
76                            0.75                          399                           8.133049964904785
77                            0.125                         131                           0.039430856704711914
77                            0.25                          188                           0.18363404273986816
77                            0.5                           309                           1.2106950283050537
77                            0.75                          429                           8.74772834777832
78                            0.125                         131                           0.04695534706115723
78                            0.25                          183                           0.18794775009155273
78                            0.5                           281                           1.1566503047943115
78                            0.75                          466                           10.141595840454102
79                            0.125                         130                           0.04302525520324707
79                            0.25                          215                           0.18426823616027832
79                            0.5                           294                           1.3030202388763428
79                            0.75                          486                           9.419961214065552
80                            0.125                         146                           0.05353283882141113
80                            0.25                          189                           0.2001662254333496
80                            0.5                           251                           1.1927971839904785
80                            0.75                          457                           10.589723348617554
81                            0.125                         149                           0.04820442199707031
81                            0.25                          174                           0.20529794692993164
81                            0.5                           275                           1.3147082328796387
81                            0.75                          429                           9.936343669891357
82                            0.125                         126                           0.04555654525756836
82                            0.25                          168                           0.20546698570251465
82                            0.5                           262                           1.3424172401428223
82                            0.75                          463                           11.194062232971191
83                            0.125                         132                           0.04851722717285156
83                            0.25                          178                           0.20225071907043457
83                            0.5                           267                           1.680793046951294
83                            0.75                          461                           11.102103471755981
84                            0.125                         123                           0.05361652374267578
84                            0.25                          173                           0.24152326583862305
84                            0.5                           266                           1.4860484600067139
84                            0.75                          457                           11.78501296043396
85                            0.125                         131                           0.05545997619628906
85                            0.25                          177                           0.22690868377685547
85                            0.5                           272                           1.5297842025756836
85                            0.75                          483                           12.148597002029419
86                            0.125                         132                           0.05584859848022461
86                            0.25                          184                           0.2246389389038086
86                            0.5                           294                           1.7885262966156006
86                            0.75                          458                           13.468819618225098
87                            0.125                         141                           0.06095719337463379
87                            0.25                          176                           0.27248382568359375
87                            0.5                           290                           1.948451042175293
87                            0.75                          470                           14.408385038375854
88                            0.125                         128                           0.06883668899536133
88                            0.25                          172                           0.2434215545654297
88                            0.5                           289                           1.926130771636963
88                            0.75                          449                           14.765671730041504
89                            0.125                         146                           0.0718235969543457
89                            0.25                          185                           0.2759242057800293
89                            0.5                           293                           2.0864341259002686
89                            0.75                          512                           23.38438081741333
90                            0.125                         131                           0.06992244720458984
90                            0.25                          181                           0.31298089027404785
90                            0.5                           290                           1.950246810913086
90                            0.75                          481                           13.696739912033081
91                            0.125                         150                           0.07490801811218262
91                            0.25                          204                           0.29371166229248047
91                            0.5                           264                           2.1257517337799072
91                            0.75                          509                           23.86554265022278
92                            0.125                         157                           0.07446455955505371
92                            0.25                          203                           0.30848169326782227
92                            0.5                           289                           2.0388221740722656
92                            0.75                          493                           19.459230422973633
93                            0.125                         143                           0.08322715759277344
93                            0.25                          185                           0.35439300537109375
93                            0.5                           282                           2.2317121028900146
93                            0.75                          479                           18.29430317878723
94                            0.125                         140                           0.07993912696838379
94                            0.25                          180                           0.3342573642730713
94                            0.5                           277                           2.2268967628479004
94                            0.75                          507                           19.17770743370056
95                            0.125                         163                           0.08804988861083984
95                            0.25                          194                           0.35498785972595215
95                            0.5                           268                           2.668055772781372
95                            0.75                          475                           18.45869493484497
96                            0.125                         146                           0.0883643627166748
96                            0.25                          186                           0.3753354549407959
96                            0.5                           255                           2.3942887783050537
96                            0.75                          536                           23.436626195907593
97                            0.125                         129                           0.08565521240234375
97                            0.25                          169                           0.3558673858642578
97                            0.5                           297                           2.4203076362609863
97                            0.75                          484                           19.87248730659485
98                            0.125                         146                           0.09564614295959473
98                            0.25                          189                           0.41916847229003906
98                            0.5                           298                           2.715230703353882
98                            0.75                          467                           15.435789585113525
99                            0.125                         167                           0.09928655624389648
99                            0.25                          190                           0.4299962520599365
99                            0.5                           304                           3.0633761882781982
99                            0.75                          495                           22.446299076080322
100                           0.125                         165                           0.09119987487792969
100                           0.25                          180                           0.4084129333496094
100                           0.5                           336                           3.0398669242858887
100                           0.75                          499                           24.439709901809692
101                           0.125                         146                           0.11658906936645508
101                           0.25                          180                           0.40212178230285645
101                           0.5                           293                           3.7197413444519043
101                           0.75                          512                           32.32726716995239
102                           0.125                         146                           0.1211690902709961
102                           0.25                          169                           0.43276524543762207
102                           0.5                           315                           3.69244647026062
102                           0.75                          470                           24.20798087120056
103                           0.125                         132                           0.13997793197631836
103                           0.25                          177                           0.46215128898620605
103                           0.5                           299                           3.3039186000823975
103                           0.75                          512                           26.715097188949585
104                           0.125                         137                           0.10148262977600098
104                           0.25                          187                           0.47997617721557617
104                           0.5                           311                           3.5386338233947754
104                           0.75                          527                           29.117889404296875
105                           0.125                         170                           0.13756465911865234
105                           0.25                          209                           0.49654102325439453
105                           0.5                           321                           3.859467029571533
105                           0.75                          498                           27.29672884941101
106                           0.125                         167                           0.1373438835144043
106                           0.25                          189                           0.49736809730529785
106                           0.5                           278                           3.7487335205078125
106                           0.75                          545                           38.4487247467041
107                           0.125                         162                           0.1271967887878418
107                           0.25                          189                           0.5460081100463867
107                           0.5                           276                           3.830902099609375
107                           0.75                          491                           30.395363569259644
108                           0.125                         162                           0.13610553741455078
108                           0.25                          178                           0.4860529899597168
108                           0.5                           278                           4.0647759437561035
108                           0.75                          518                           29.2720205783844
109                           0.125                         153                           0.13453936576843262
109                           0.25                          190                           0.6115899085998535
109                           0.5                           300                           4.280541181564331
109                           0.75                          494                           30.311713933944702
110                           0.125                         138                           0.13317632675170898
110                           0.25                          202                           0.5953783988952637
110                           0.5                           308                           4.513537168502808
110                           0.75                          513                           32.013914585113525
111                           0.125                         167                           0.15587520599365234
111                           0.25                          204                           0.5830328464508057
111                           0.5                           330                           4.778825998306274
111                           0.75                          507                           36.52311992645264
112                           0.125                         142                           0.14927983283996582
112                           0.25                          183                           0.5558764934539795
112                           0.5                           280                           4.750999212265015
112                           0.75                          523                           48.127660274505615
113                           0.125                         144                           0.1463313102722168
113                           0.25                          214                           0.685136079788208
113                           0.5                           292                           4.616302967071533
113                           0.75                          497                           28.62319540977478
114                           0.125                         145                           0.15453791618347168
114                           0.25                          196                           0.6700263023376465
114                           0.5                           333                           5.021873712539673
114                           0.75                          533                           36.099403619766235
115                           0.125                         154                           0.16497159004211426
115                           0.25                          198                           0.6660394668579102
115                           0.5                           293                           4.949684143066406
115                           0.75                          497                           34.79561185836792
116                           0.125                         135                           0.16152715682983398
116                           0.25                          209                           0.713843584060669
116                           0.5                           317                           5.33971381187439
116                           0.75                          551                           48.99681782722473
117                           0.125                         134                           0.15777087211608887
117                           0.25                          200                           0.7228617668151855
117                           0.5                           299                           4.943563938140869
117                           0.75                          559                           41.63464117050171
118                           0.125                         147                           0.17700409889221191
118                           0.25                          199                           0.7039546966552734
118                           0.5                           289                           4.899510622024536
118                           0.75                          515                           43.45141053199768
119                           0.125                         162                           0.1957077980041504
119                           0.25                          192                           0.7980012893676758
119                           0.5                           319                           5.294470310211182
119                           0.75                          481                           42.162816286087036
120                           0.125                         136                           0.21375250816345215
120                           0.25                          203                           0.8114619255065918
120                           0.5                           297                           5.797570466995239
120                           0.75                          507                           45.935675859451294
121                           0.125                         148                           0.2052617073059082
121                           0.25                          185                           0.8203935623168945
121                           0.5                           303                           6.0886549949646
121                           0.75                          554                           45.44443917274475
122                           0.125                         155                           0.21448802947998047
122                           0.25                          192                           0.8408763408660889
122                           0.5                           328                           6.5564799308776855
122                           0.75                          565                           50.696545124053955
123                           0.125                         169                           0.21301746368408203
123                           0.25                          191                           0.7931935787200928
123                           0.5                           310                           6.347327947616577
123                           0.75                          559                           48.73643350601196
124                           0.125                         157                           0.21472525596618652
124                           0.25                          174                           0.8083455562591553
124                           0.5                           288                           6.588104963302612
124                           0.75                          505                           50.97918939590454
125                           0.125                         147                           0.22822856903076172
125                           0.25                          181                           0.9047276973724365
125                           0.5                           295                           6.168359994888306
125                           0.75                          556                           51.24436831474304
126                           0.125                         144                           0.23134183883666992
126                           0.25                          201                           1.0078997611999512
126                           0.5                           313                           6.605792760848999
126                           0.75                          534                           56.302011489868164
127                           0.125                         163                           0.21567964553833008
127                           0.25                          177                           0.9968538284301758
127                           0.5                           292                           6.844317197799683
127                           0.75                          501                           49.57207417488098
128                           0.125                         170                           0.23836898803710938
128                           0.25                          182                           1.0144445896148682
128                           0.5                           300                           7.2117695808410645
128                           0.75                          561                           65.46627449989319
