Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
33                            0.5                           119                           284                           1                             0.0009918212890625
33                            0.75                          213                           506                           1                             0.010043144226074219
34                            0.125                         87                            76                            1                             8.916854858398438e-05
34                            0.25                          113                           152                           1                             0.0003581047058105469
34                            0.5                           162                           300                           1                             0.0010259151458740234
34                            0.75                          258                           492                           1                             0.005782127380371094
35                            0.125                         67                            80                            1                             9.799003601074219e-05
35                            0.25                          131                           168                           1                             0.0006110668182373047
35                            0.5                           150                           327                           1                             0.0016598701477050781
35                            0.75                          253                           536                           1                             0.007608890533447266
36                            0.125                         58                            84                            1                             8.678436279296875e-05
36                            0.25                          90                            163                           1                             0.0001690387725830078
36                            0.5                           127                           345                           1                             0.0016911029815673828
36                            0.75                          265                           604                           1                             0.012151002883911133
37                            0.125                         67                            89                            1                             9.989738464355469e-05
37                            0.25                          99                            178                           1                             0.00040912628173828125
37                            0.5                           166                           363                           1                             0.0019147396087646484
37                            0.75                          351                           609                           1                             0.01135110855102539
38                            0.125                         58                            93                            1                             0.0001201629638671875
38                            0.25                          99                            187                           1                             0.0003528594970703125
38                            0.5                           133                           371                           1                             0.0012722015380859375
38                            0.75                          273                           617                           1                             0.009234905242919922
39                            0.125                         87                            98                            1                             9.679794311523438e-05
39                            0.25                          108                           197                           1                             0.0003457069396972656
39                            0.5                           151                           400                           1                             0.0018448829650878906
39                            0.75                          293                           645                           1                             0.009020090103149414
40                            0.125                         87                            103                           1                             0.00010013580322265625
40                            0.25                          111                           207                           1                             0.0004191398620605469
40                            0.5                           125                           410                           1                             0.0011942386627197266
40                            0.75                          281                           657                           1                             0.007985115051269531
41                            0.125                         87                            108                           1                             0.00010275840759277344
41                            0.25                          108                           217                           1                             0.0003762245178222656
41                            0.5                           158                           440                           1                             0.001989126205444336
41                            0.75                          263                           687                           1                             0.007678985595703125
42                            0.125                         80                            113                           1                             0.00013017654418945312
42                            0.25                          127                           227                           1                             0.0004379749298095703
42                            0.5                           163                           472                           1                             0.0028731822967529297
42                            0.75                          231                           717                           1                             0.008182048797607422
43                            0.125                         67                            118                           1                             0.00014901161193847656
43                            0.25                          108                           237                           1                             0.0003981590270996094
43                            0.5                           156                           481                           1                             0.0022339820861816406
43                            0.75                          310                           787                           1                             0.013782024383544922
44                            0.125                         80                            124                           1                             0.00015616416931152344
44                            0.25                          145                           256                           1                             0.0007910728454589844
44                            0.5                           209                           515                           1                             0.0032052993774414062
44                            0.75                          313                           819                           1                             0.013913154602050781
45                            0.125                         73                            135                           1                             0.0002818107604980469
45                            0.25                          96                            259                           1                             0.0004858970642089844
45                            0.5                           139                           525                           1                             0.002561807632446289
45                            0.75                          298                           832                           1                             0.012328863143920898
46                            0.125                         73                            141                           1                             0.0002789497375488281
46                            0.25                          120                           278                           1                             0.0008068084716796875
46                            0.5                           185                           547                           1                             0.0024840831756591797
46                            0.75                          318                           886                           1                             0.015120744705200195
47                            0.125                         117                           147                           1                             0.00024199485778808594
47                            0.25                          111                           282                           1                             0.0004870891571044922
47                            0.5                           211                           570                           1                             0.0026640892028808594
47                            0.75                          341                           966                           1                             0.02346491813659668
48                            0.125                         92                            147                           1                             0.000179290771484375
48                            0.25                          111                           294                           1                             0.0005879402160644531
48                            0.5                           171                           584                           1                             0.0016970634460449219
48                            0.75                          343                           956                           1                             0.01584935188293457
49                            0.125                         93                            159                           1                             0.00028014183044433594
49                            0.25                          113                           306                           1                             0.0005660057067871094
49                            0.5                           180                           618                           1                             0.0027289390563964844
49                            0.75                          251                           938                           1                             0.008214950561523438
50                            0.125                         92                            159                           1                             0.00018596649169921875
50                            0.25                          93                            312                           1                             0.0003006458282470703
50                            0.5                           202                           642                           1                             0.003303050994873047
50                            0.75                          386                           1050                          1                             0.02089214324951172
51                            0.125                         92                            165                           1                             0.0001728534698486328
51                            0.25                          136                           330                           1                             0.0006060600280761719
51                            0.5                           212                           679                           1                             0.004690885543823242
51                            0.75                          305                           1046                          1                             0.015198945999145508
52                            0.125                         92                            171                           1                             0.00019407272338867188
52                            0.25                          140                           343                           1                             0.0007288455963134766
52                            0.5                           253                           719                           1                             0.006415128707885742
52                            0.75                          359                           1104                          1                             0.018565654754638672
53                            0.125                         90                            178                           1                             0.00019288063049316406
53                            0.25                          127                           356                           1                             0.0006089210510253906
53                            0.5                           183                           719                           1                             0.002888202667236328
53                            0.75                          316                           1123                          1                             0.01562190055847168
54                            0.125                         108                           190                           1                             0.0003490447998046875
54                            0.25                          110                           369                           1                             0.0005550384521484375
54                            0.5                           184                           745                           1                             0.0038073062896728516
54                            0.75                          423                           1229                          1                             0.029886960983276367
55                            0.125                         92                            191                           1                             0.0002148151397705078
55                            0.25                          145                           391                           1                             0.0012009143829345703
55                            0.5                           193                           772                           1                             0.0034246444702148438
55                            0.75                          330                           1269                          1                             0.03065180778503418
56                            0.125                         108                           204                           1                             0.0003719329833984375
56                            0.25                          145                           405                           1                             0.0012199878692626953
56                            0.5                           175                           800                           1                             0.003671884536743164
56                            0.75                          368                           1265                          1                             0.02342391014099121
57                            0.125                         99                            211                           1                             0.0003917217254638672
57                            0.25                          140                           411                           1                             0.0008130073547363281
57                            0.5                           199                           828                           1                             0.0040569305419921875
57                            0.75                          379                           1307                          1                             0.023166894912719727
58                            0.125                         127                           218                           1                             0.00045013427734375
58                            0.25                          127                           425                           1                             0.0006880760192871094
58                            0.5                           204                           868                           1                             0.005820035934448242
58                            0.75                          393                           1371                          1                             0.028002262115478516
59                            0.125                         92                            219                           1                             0.00022292137145996094
59                            0.25                          127                           439                           1                             0.0007169246673583984
59                            0.5                           189                           885                           1                             0.0038199424743652344
59                            0.75                          380                           1393                          1                             0.02424478530883789
60                            0.125                         93                            227                           1                             0.00024580955505371094
60                            0.25                          124                           462                           1                             0.0015211105346679688
60                            0.5                           217                           915                           1                             0.004729032516479492
60                            0.75                          346                           1417                          1                             0.019337892532348633
61                            0.125                         96                            234                           1                             0.00024700164794921875
61                            0.25                          116                           469                           1                             0.0009210109710693359
61                            0.5                           206                           957                           1                             0.006746053695678711
61                            0.75                          352                           1462                          1                             0.02065300941467285
62                            0.125                         96                            242                           1                             0.0002529621124267578
62                            0.25                          113                           484                           1                             0.0008141994476318359
62                            0.5                           242                           987                           1                             0.0067369937896728516
62                            0.75                          376                           1550                          1                             0.03218483924865723
63                            0.125                         96                            250                           1                             0.0002758502960205078
63                            0.25                          136                           500                           1                             0.0009489059448242188
63                            0.5                           207                           1006                          1                             0.004842281341552734
63                            0.75                          430                           1620                          1                             0.03972911834716797
64                            0.125                         98                            264                           1                             0.00044608116149902344
64                            0.25                          126                           524                           1                             0.0015227794647216797
64                            0.5                           202                           1050                          1                             0.006042003631591797
64                            0.75                          458                           1722                          1                             0.05555319786071777
65                            0.125                         97                            266                           1                             0.000225067138671875
65                            0.25                          135                           532                           1                             0.0009429454803466797
65                            0.5                           225                           1082                          1                             0.0076940059661865234
65                            0.75                          365                           1692                          1                             0.035359859466552734
66                            0.125                         96                            274                           1                             0.0002238750457763672
66                            0.25                          134                           548                           1                             0.0009868144989013672
66                            0.5                           227                           1114                          1                             0.006809234619140625
66                            0.75                          389                           1740                          1                             0.034520864486694336
67                            0.125                         96                            282                           1                             0.0002300739288330078
67                            0.25                          148                           572                           1                             0.0015518665313720703
67                            0.5                           220                           1147                          1                             0.00816488265991211
67                            0.75                          369                           1768                          1                             0.032536983489990234
68                            0.125                         97                            290                           1                             0.0002429485321044922
68                            0.25                          145                           581                           1                             0.0011000633239746094
68                            0.5                           223                           1181                          1                             0.007908105850219727
68                            0.75                          360                           1818                          1                             0.03380298614501953
69                            0.125                         97                            299                           1                             0.0002429485321044922
69                            0.25                          176                           606                           1                             0.002216815948486328
69                            0.5                           218                           1215                          1                             0.0076978206634521484
69                            0.75                          402                           1891                          1                             0.040609121322631836
70                            0.125                         97                            307                           1                             0.00029087066650390625
70                            0.25                          145                           615                           1                             0.0013070106506347656
70                            0.5                           197                           1237                          1                             0.0058591365814208984
70                            0.75                          380                           1901                          1                             0.027546167373657227
71                            0.125                         93                            316                           1                             0.0002779960632324219
71                            0.25                          156                           641                           1                             0.0020689964294433594
71                            0.5                           188                           1272                          1                             0.006190061569213867
71                            0.75                          436                           2045                          1                             0.06022310256958008
72                            0.125                         97                            325                           1                             0.0002560615539550781
72                            0.25                          140                           651                           1                             0.0012218952178955078
72                            0.5                           221                           1308                          1                             0.006268024444580078
72                            0.75                          335                           2007                          1                             0.02811408042907715
73                            0.125                         97                            334                           1                             0.0002617835998535156
73                            0.25                          145                           669                           1                             0.0012218952178955078
73                            0.5                           218                           1344                          1                             0.006970882415771484
73                            0.75                          421                           2103                          1                             0.04470109939575195
74                            0.125                         84                            343                           1                             0.00025200843811035156
74                            0.25                          132                           687                           1                             0.0010790824890136719
74                            0.5                           240                           1406                          1                             0.012289047241210938
74                            0.75                          346                           2157                          1                             0.04457807540893555
75                            0.125                         97                            352                           1                             0.0002779960632324219
75                            0.25                          176                           713                           1                             0.0022552013397216797
75                            0.5                           210                           1429                          1                             0.009965896606445312
75                            0.75                          437                           2237                          1                             0.053978919982910156
76                            0.125                         118                           368                           1                             0.0005257129669189453
76                            0.25                          138                           724                           1                             0.0014729499816894531
76                            0.5                           210                           1455                          1                             0.006072998046875
76                            0.75                          339                           2247                          1                             0.04240608215332031
77                            0.125                         93                            371                           1                             0.0002980232238769531
77                            0.25                          184                           751                           1                             0.0026917457580566406
77                            0.5                           228                           1493                          1                             0.007277011871337891
77                            0.75                          348                           2326                          1                             0.05254817008972168
78                            0.125                         86                            381                           1                             0.00028395652770996094
78                            0.25                          183                           770                           1                             0.0024650096893310547
78                            0.5                           253                           1543                          1                             0.009338855743408203
78                            0.75                          457                           2434                          1                             0.07087826728820801
79                            0.125                         93                            391                           1                             0.0003199577331542969
79                            0.25                          132                           782                           1                             0.0012688636779785156
79                            0.5                           242                           1582                          1                             0.010789871215820312
79                            0.75                          423                           2442                          1                             0.051076650619506836
80                            0.125                         93                            401                           1                             0.00032901763916015625
80                            0.25                          135                           802                           1                             0.0012748241424560547
80                            0.5                           244                           1622                          1                             0.011053800582885742
80                            0.75                          409                           2502                          1                             0.05265998840332031
81                            0.125                         93                            411                           1                             0.0003478527069091797
81                            0.25                          136                           822                           1                             0.0017437934875488281
81                            0.5                           260                           1662                          1                             0.01162099838256836
81                            0.75                          368                           2540                          1                             0.04461193084716797
82                            0.125                         120                           427                           1                             0.0008800029754638672
82                            0.25                          138                           842                           1                             0.0016760826110839844
82                            0.5                           216                           1690                          1                             0.007302284240722656
82                            0.75                          430                           2622                          1                             0.057726144790649414
83                            0.125                         120                           437                           1                             0.0008571147918701172
83                            0.25                          143                           870                           1                             0.002521991729736328
83                            0.5                           253                           1757                          1                             0.015286922454833984
83                            0.75                          392                           2684                          1                             0.055728912353515625
84                            0.125                         120                           447                           1                             0.000865936279296875
84                            0.25                          138                           883                           1                             0.0017638206481933594
84                            0.5                           204                           1773                          1                             0.00884389877319336
84                            0.75                          359                           2746                          1                             0.05595803260803223
85                            0.125                         93                            452                           1                             0.0003609657287597656
85                            0.25                          132                           904                           1                             0.0014867782592773438
85                            0.5                           214                           1815                          1                             0.009221792221069336
85                            0.75                          394                           2809                          1                             0.06383585929870605
86                            0.125                         93                            462                           1                             0.0003719329833984375
86                            0.25                          138                           925                           1                             0.0017311573028564453
86                            0.5                           168                           1847                          1                             0.005399942398071289
86                            0.75                          396                           2873                          1                             0.06621599197387695
87                            0.125                         93                            473                           1                             0.000370025634765625
87                            0.25                          165                           965                           1                             0.004861116409301758
87                            0.5                           254                           1912                          1                             0.01289677619934082
87                            0.75                          420                           2937                          1                             0.0631861686706543
88                            0.125                         93                            484                           1                             0.00038909912109375
88                            0.25                          145                           969                           1                             0.001978158950805664
88                            0.5                           223                           1970                          1                             0.016793012619018555
88                            0.75                          354                           3003                          1                             0.06756186485290527
89                            0.125                         93                            495                           1                             0.00040602684020996094
89                            0.25                          185                           999                           1                             0.003004789352416992
89                            0.5                           212                           2000                          1                             0.01319122314453125
89                            0.75                          489                           3177                          1                             0.11686301231384277
90                            0.125                         93                            506                           1                             0.00039887428283691406
90                            0.25                          180                           1021                          1                             0.0029969215393066406
90                            0.5                           197                           2032                          1                             0.008727073669433594
90                            0.75                          390                           3113                          1                             0.05467700958251953
91                            0.125                         93                            517                           1                             0.0004138946533203125
91                            0.25                          125                           1035                          1                             0.0016930103302001953
91                            0.5                           240                           2089                          1                             0.015146017074584961
91                            0.75                          509                           3311                          1                             0.12997078895568848
92                            0.125                         120                           535                           1                             0.0010058879852294922
92                            0.25                          155                           1066                          1                             0.003306865692138672
92                            0.5                           222                           2135                          1                             0.015424013137817383
92                            0.75                          444                           3321                          1                             0.1015009880065918
93                            0.125                         135                           546                           1                             0.0010061264038085938
93                            0.25                          185                           1089                          1                             0.0038039684295654297
93                            0.5                           250                           2181                          1                             0.01363682746887207
93                            0.75                          421                           3340                          1                             0.07426095008850098
94                            0.125                         98                            552                           1                             0.0006923675537109375
94                            0.25                          167                           1112                          1                             0.0035789012908935547
94                            0.5                           201                           2215                          1                             0.00958108901977539
94                            0.75                          415                           3434                          1                             0.09130501747131348
95                            0.125                         133                           570                           1                             0.0009891986846923828
95                            0.25                          190                           1136                          1                             0.0032851696014404297
95                            0.5                           261                           2304                          1                             0.024508953094482422
95                            0.75                          433                           3558                          1                             0.11882877349853516
96                            0.125                         98                            576                           1                             0.000614166259765625
96                            0.25                          109                           1160                          1                             0.0032329559326171875
96                            0.5                           225                           2336                          1                             0.01964282989501953
96                            0.75                          443                           3576                          1                             0.0896611213684082
97                            0.125                         98                            588                           1                             0.0007138252258300781
97                            0.25                          154                           1184                          1                             0.003303050994873047
97                            0.5                           229                           2370                          1                             0.016474246978759766
97                            0.75                          445                           3624                          1                             0.07709789276123047
98                            0.125                         98                            600                           1                             0.0006592273712158203
98                            0.25                          142                           1200                          1                             0.0020139217376708984
98                            0.5                           182                           2396                          1                             0.007190227508544922
98                            0.75                          368                           3654                          1                             0.05356407165527344
99                            0.125                         98                            612                           1                             0.0006577968597412109
99                            0.25                          121                           1224                          1                             0.002218961715698242
99                            0.5                           206                           2455                          1                             0.011610031127929688
99                            0.75                          440                           3820                          1                             0.11181902885437012
100                           0.125                         98                            624                           1                             0.0006589889526367188
100                           0.25                          158                           1257                          1                             0.004196882247924805
100                           0.5                           247                           2531                          1                             0.02247929573059082
100                           0.75                          455                           3894                          1                             0.1138160228729248
101                           0.125                         132                           643                           1                             0.001194000244140625
101                           0.25                          146                           1274                          1                             0.00238800048828125
101                           0.5                           256                           2581                          1                             0.02417302131652832
101                           0.75                          512                           3997                          1                             0.14531731605529785
102                           0.125                         98                            649                           1                             0.0007658004760742188
102                           0.25                          154                           1307                          1                             0.00516200065612793
102                           0.5                           240                           2631                          1                             0.024765968322753906
102                           0.75                          437                           3995                          1                             0.10372400283813477
103                           0.125                         115                           668                           1                             0.001547098159790039
103                           0.25                          146                           1325                          1                             0.002444028854370117
103                           0.5                           280                           2682                          1                             0.02615213394165039
103                           0.75                          499                           4149                          1                             0.14680910110473633
104                           0.125                         132                           681                           1                             0.0012478828430175781
104                           0.25                          169                           1359                          1                             0.005052089691162109
104                           0.5                           311                           2750                          1                             0.03613686561584473
104                           0.75                          498                           4173                          1                             0.1266798973083496
105                           0.125                         103                           694                           1                             0.0017421245574951172
105                           0.25                          157                           1385                          1                             0.004722118377685547
105                           0.5                           283                           2786                          1                             0.025892019271850586
105                           0.75                          456                           4277                          1                             0.15690898895263672
106                           0.125                         103                           707                           1                             0.0016791820526123047
106                           0.25                          181                           1411                          1                             0.004624843597412109
106                           0.5                           252                           2824                          1                             0.01935291290283203
106                           0.75                          545                           4413                          1                             0.2333822250366211
107                           0.125                         98                            714                           1                             0.005785942077636719
107                           0.25                          115                           1429                          1                             0.003579854965209961
107                           0.5                           242                           2877                          1                             0.026100873947143555
107                           0.75                          413                           4363                          1                             0.10319113731384277
108                           0.125                         136                           734                           1                             0.0017611980438232422
108                           0.25                          137                           1456                          1                             0.0036280155181884766
108                           0.5                           228                           2931                          1                             0.027647972106933594
108                           0.75                          426                           4489                          1                             0.13470005989074707
109                           0.125                         132                           747                           1                             0.0013370513916015625
109                           0.25                          168                           1491                          1                             0.004216909408569336
109                           0.5                           265                           2985                          1                             0.018494844436645508
109                           0.75                          406                           4546                          1                             0.10031485557556152
110                           0.125                         98                            755                           1                             0.001363992691040039
110                           0.25                          158                           1518                          1                             0.005535125732421875
110                           0.5                           260                           3053                          1                             0.02839493751525879
110                           0.75                          413                           4652                          1                             0.11778998374938965
111                           0.125                         103                           775                           1                             0.0016489028930664062
111                           0.25                          142                           1538                          1                             0.0024788379669189453
111                           0.5                           255                           3108                          1                             0.028185129165649414
111                           0.75                          475                           4734                          1                             0.12482118606567383
112                           0.125                         142                           789                           1                             0.0015110969543457031
112                           0.25                          181                           1574                          1                             0.004820108413696289
112                           0.5                           247                           3150                          1                             0.023457050323486328
112                           0.75                          474                           4934                          1                             0.210921049118042
113                           0.125                         132                           803                           1                             0.0013821125030517578
113                           0.25                          190                           1602                          1                             0.00447392463684082
113                           0.5                           245                           3220                          1                             0.024775266647338867
113                           0.75                          414                           4878                          1                             0.09046006202697754
114                           0.125                         142                           817                           1                             0.0016019344329833984
114                           0.25                          154                           1630                          1                             0.004288673400878906
114                           0.5                           250                           3276                          1                             0.027538776397705078
114                           0.75                          414                           4962                          1                             0.10807299613952637
115                           0.125                         98                            825                           1                             0.0008578300476074219
115                           0.25                          156                           1658                          1                             0.004790067672729492
115                           0.5                           246                           3319                          1                             0.022519826889038086
115                           0.75                          398                           5026                          1                             0.0866248607635498
116                           0.125                         132                           845                           1                             0.0015270709991455078
116                           0.25                          181                           1697                          1                             0.008637189865112305
116                           0.5                           278                           3377                          1                             0.02447986602783203
116                           0.75                          484                           5184                          1                             0.15090489387512207
117                           0.125                         132                           860                           1                             0.001528024673461914
117                           0.25                          138                           1708                          1                             0.0032930374145507812
117                           0.5                           220                           3423                          1                             0.016004323959350586
117                           0.75                          481                           5245                          1                             0.1389477252960205
118                           0.125                         98                            868                           1                             0.0009016990661621094
118                           0.25                          187                           1745                          1                             0.006019115447998047
118                           0.5                           237                           3493                          1                             0.022533893585205078
118                           0.75                          457                           5333                          1                             0.1267392635345459
119                           0.125                         125                           889                           1                             0.0016210079193115234
119                           0.25                          173                           1775                          1                             0.004703044891357422
119                           0.5                           285                           3552                          1                             0.02344489097595215
119                           0.75                          443                           5421                          1                             0.13356328010559082
120                           0.125                         132                           904                           1                             0.0014820098876953125
120                           0.25                          203                           1815                          1                             0.008166790008544922
120                           0.5                           267                           3626                          1                             0.030633926391601562
120                           0.75                          462                           5537                          1                             0.1638479232788086
121                           0.125                         136                           919                           1                             0.001811981201171875
121                           0.25                          150                           1835                          1                             0.005882978439331055
121                           0.5                           266                           3686                          1                             0.03479123115539551
121                           0.75                          389                           5577                          1                             0.11568784713745117
122                           0.125                         98                            928                           1                             0.0009450912475585938
122                           0.25                          148                           1865                          1                             0.006460905075073242
122                           0.5                           315                           3746                          1                             0.03463172912597656
122                           0.75                          473                           5691                          1                             0.149461030960083
123                           0.125                         115                           949                           1                             0.0018110275268554688
123                           0.25                          180                           1895                          1                             0.005603790283203125
123                           0.5                           287                           3823                          1                             0.04476428031921387
123                           0.75                          448                           5783                          1                             0.1471700668334961
124                           0.125                         138                           965                           1                             0.002115011215209961
124                           0.25                          167                           1936                          1                             0.009582996368408203
124                           0.5                           238                           3869                          1                             0.03383588790893555
124                           0.75                          472                           5875                          1                             0.14936280250549316
125                           0.125                         138                           980                           1                             0.0021338462829589844
125                           0.25                          164                           1957                          1                             0.006396770477294922
125                           0.5                           232                           3917                          1                             0.02837514877319336
125                           0.75                          492                           5968                          1                             0.14687395095825195
126                           0.125                         132                           996                           1                             0.0016999244689941406
126                           0.25                          155                           1988                          1                             0.0052449703216552734
126                           0.5                           233                           3993                          1                             0.03563189506530762
126                           0.75                          496                           6088                          1                             0.18154025077819824
127                           0.125                         104                           1012                          1                             0.002042055130004883
127                           0.25                          146                           2012                          1                             0.003306865692138672
127                           0.5                           238                           4042                          1                             0.027289867401123047
127                           0.75                          457                           6182                          1                             0.18475580215454102
